,make,model
33394,Hyundai,Ioniq Electric
33544,Chevrolet,Bolt EV
33615,Hyundai,Kona Electric
33818,Kia,Soul Electric
33819,Volkswagen,e-Golf
33868,Nissan,Leaf (40 kW-hr battery pack)
34060,Jaguar,I-Pace
34137,BMW,i3
34138,BMW,i3s
34144,Kia,Niro Electric
34236,Fiat,500e
34279,Honda,Clarity EV
34280,smart,EQ fortwo (coupe)
34281,smart,EQ fortwo (convertible)
34282,Tesla,Model 3 Mid Range
34283,Tesla,Model 3 Long Range
34285,Tesla,Model 3 Long Range AWD
34286,Tesla,Model 3 Long Range AWD Performance
34287,Tesla,Model S 75D
34288,Tesla,Model S 100D
34289,Tesla,Model S P100D
34290,Tesla,Model X 75D
34291,Tesla,Model X 100D
34292,Tesla,Model X P100D
34377,Nissan,Leaf (62 kW-hr battery pack)
34378,Nissan,Leaf SV/SL (62 kW-hr battery pack)
34506,Audi,e-tron
34527,Jaguar,I-Pace
34529,Tesla,Model 3 Standard Range
34530,Tesla,Model 3 Standard Range Plus
34531,Tesla,Model S Long Range
34532,Tesla,Model S Performance (19in Wheels)
34533,Tesla,Model S Performance (21in Wheels)
34638,Tesla,Model S Standard Range
34639,Tesla,Model X Long Range
34640,Tesla,Model X Performance (22in Wheels)
35269,BYD,e6
35270,Hyundai,Kona Electric
35323,Volkswagen,e-Golf
35383,Chevrolet,Bolt EV
35474,Hyundai,Ioniq Electric
35475,Tesla,Model 3 Long Range
35476,Tesla,Model 3 Long Range AWD
35477,Tesla,Model 3 Mid Range
35478,Tesla,Model 3 Standard Range
35479,Tesla,Model 3 Standard Range Plus
35480,Tesla,Model 3 Long Range Performance AWD (18in)
35482,Tesla,Model 3 Long Range Performance AWD (19in)
35483,Tesla,Model 3 Long Range Performance AWD (20in)
35484,Tesla,Model S Long Range
35485,Tesla,Model S Performance (19in Wheels)
35486,Tesla,Model S Performance (21in Wheels)
35487,Tesla,Model S Standard Range
35488,Tesla,Model X Long Range
35489,Tesla,Model X Performance (20in Wheels)
35490,Tesla,Model X Performance (22in Wheels)
35491,Tesla,Model X Standard Range
35596,Porsche,Taycan Turbo
35644,Porsche,Taycan Turbo S
35696,Tesla,Model Y Performance AWD
35732,MINI,Cooper SE Hardtop 2 door
35737,BMW,i3
35738,BMW,i3s
35739,Kia,Niro Electric
35791,Nissan,Leaf (40 kW-hr battery pack)
35792,Nissan,Leaf (62 kW-hr battery pack)
35793,Nissan,Leaf SV/SL (62 kW-hr battery pack)
35822,Porsche,Taycan 4S Perf Battery Plus
35871,MINI,Cooper SE Hardtop 2 door
35915,Audi,e-tron Sportback
35998,Tesla,Model S Long Range Plus
36064,Tesla,Model Y Performance AWD (21in Wheels)
36175,Tesla,Model Y Long Range AWD
36595,Polestar,2
36596,Volvo,XC40 AWD BEV
36715,Tesla,Model 3 Long Range AWD
36716,Tesla,Model 3 Performance AWD
36717,Tesla,Model X Long Range Plus
36718,Tesla,Model X Performance (20in Wheels)
36719,Tesla,Model X Performance (22in Wheels)
36720,Tesla,Model Y Long Range AWD
36721,Tesla,Model Y Performance AWD
36727,Kia,Soul Electric
36728,Tesla,Model X Long Range Plus
